Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Value ($),Run_Label
msft,put,2026-03-20,330,29.92,470.92,353.19,4.25,18.11,281,75,-25.0,326.03,31.48,-0.0649,-0.026,4.05,4.2,4.25,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,426.03,Mid-Term
msft,put,2026-03-20,320,32.05,470.92,353.19,3.75,15.26,281,75,-25.0,307.01,32.27,-0.0556,-0.0237,3.45,3.6,3.75,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,407.01,Mid-Term
amd,put,2026-02-20,85,31.03,123.24,92.43,3.51,7.68,253,75,-25.0,118.94,48.68,-0.1189,-0.0176,3.45,3.55,3.51,2025-06-10 20:00:00,2025-06-10 20:00:00,2,100,218.94,Mid-Term
amd,put,2026-02-20,90,26.97,123.24,92.43,4.7,9.81,253,75,-25.0,108.74,47.9,-0.147,-0.0199,4.45,4.55,4.7,2025-06-10 20:00:00,2025-06-10 20:00:00,0,100,208.74,Mid-Term
amd,put,2026-03-20,85,31.03,123.24,92.43,3.99,8.28,281,75,-25.0,107.47,48.24,-0.1241,-0.0169,3.85,3.95,3.99,2025-06-10 20:00:00,2025-06-10 20:00:00,7,100,207.47,Mid-Term
amd,put,2026-03-20,90,26.97,123.24,92.43,4.9,10.38,281,75,-25.0,111.77,47.33,-0.1514,-0.0188,4.85,4.95,4.9,2025-06-10 20:00:00,2025-06-10 20:00:00,4,100,211.77,Mid-Term
nvda,put,2026-03-20,100,30.54,143.96,107.97,4.57,9.82,281,75,-25.0,114.82,47.67,-0.1259,-0.0197,4.5,4.6,4.57,2025-06-10 19:59:59,2025-06-10 19:59:59,107,100,214.82,Mid-Term
nvda,put,2026-03-20,105,27.06,143.96,107.97,5.55,11.91,281,75,-25.0,114.53,46.84,-0.1492,-0.0215,5.55,5.85,5.55,2025-06-10 20:00:00,2025-06-10 20:00:00,82,100,214.53,Mid-Term
u,put,2026-03-20,18,27.54,24.84,18.63,2.2,3.19,281,75,-25.0,45.09,69.71,-0.1907,-0.0066,2.04,2.21,2.2,2025-06-10 19:59:57,2025-06-10 19:59:57,11,100,145.09,Mid-Term
aapl,call,2026-02-20,265,30.75,202.67,283.74,3.45,33.6,253,90,40.0,874.04,26.04,0.1578,-0.0238,3.25,3.4,3.45,2025-06-10 19:59:59,2025-06-10 19:59:59,1,100,974.04,Mid-Term
aapl,call,2026-02-20,260,28.29,202.67,283.74,4.1,36.99,253,90,40.0,802.15,26.08,0.1803,-0.0261,3.85,4.0,4.1,2025-06-10 19:59:59,2025-06-10 19:59:59,9,100,902.15,Mid-Term
aapl,call,2026-03-20,260,28.29,202.67,283.74,4.5,38.95,281,90,40.0,765.58,26.1,0.1995,-0.0266,4.6,4.75,4.5,2025-06-10 19:59:59,2025-06-10 19:59:59,23,100,865.58,Mid-Term
